Title,Next Page,Order,Type,Date,Timeframe,Status,Tags,AI summary,Alternative Images,FORMULATED TITLE,Last,Last Page,Next,Page Content,Parent item,Sub-item
The Weight We Carry: A Framework for Understanding Invisible Burdens,,"Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),Drafting,it illustrates the disparity between those facing these challenges and others who run unencumbered,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),Marathon of Life with Weighted Burdens (Marathon%20of%20Life%20with%20Weighted%20Burdens%2020af84a04402800ea9efd931640a578b.md),,"Invisible burdens significantly increase daily effort,with mental and physical health factors adding substantial strain. Using a metaphor of a marathon,highlighting the unseen weight many carry in life.",,,6800_The Weight We Carry: A Framework for Understanding Invisible Burdens-2025,Mothers Explosion (Mothers%20Explosion%2020ff84a04402806096b3e30e9061c570.md)",,6800
Breaking the Silence PodCast,,The Cost of Silence (The%20Cost%20of%20Silence%2020af84a0440280a19c46eb76d988f46b.md),2025,,,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),,"Drafting a podcast chapter titled ""Breaking the Silence,"" featuring multiple links to audio and video content related to Cody's plea for help.",,0804_Breaking the Silence PodCast-2025,,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a0440280e799d2cd163461374c.md),0804,,Drafting
IISITAX Venture Breakdown,Joels Return (Joels%20Return%2021bf84a04402803cbfeacb1d77edf18e.md),,IisiTax Parking Fiasco (IisiTax%20Parking%20Fiasco%20218f84a044028035b0a6fed2cc5c7f62.md),leading to financial ruin and legal issues for the exploited party. Psychological manipulation and defamation further exacerbated the situation.","Crystal and Arleth’s Betrayal (Crystal%20and%20Arleth%E2%80%99s%20Betrayal%2020af84a04402804f9611eee405fe2786.md),,Drafting,"The venture involved exploitation and betrayal,with one party contributing significantly while others took credit and avoided accountability,,,6710_IISITAX Venture Breakdown-2025,,Crystal and Arleth’s Betrayal (Crystal%20and%20Arleth%E2%80%99s%20Betrayal%2020af84a04402804f9611eee405fe2786.md),6710,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md)
Business Ventures Initiated,,"Breaking the Silence (Breaking%20the%20Silence%2020af84a04402805e9645d8416136b5e6.md),PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),and IT solutions,,,6200,"Cody has launched multiple businesses including HR consulting,tax services,while Joel has navigated significant immigration challenges. They are developing new ventures and documenting their journey to inspire others amidst financial and personal hardships.",,,6200_Business Ventures Initiated-2024,Unmet Requests for Help (Unmet%20Requests%20for%20Help%2020af84a0440280cab897f1f11229609b.md),Operational Overload (Operational%20Overload%2020af84a044028084bb56f6970000dda3.md)",SRVGroup (SRVGroup%2021bf84a0440280778109e6e5e215a793.md)
Personal Investment,4420_Personal Investment-2023-2024,,Outlining,and emotional energy have been invested in systems,Business Ventures Initiated (Business%20Ventures%20Initiated%2020af84a0440280ffa3c9dd0d303315ac.md),Business Begins to Unravel (Business%20Begins%20to%20Unravel%2021bf84a04402802a8daec11029266851.md),,"Significant time,finances,client work,and developing tools for marginalized groups during the 2023-2024 timeframe.",,,Lafayette Storefront Opened (Lafayette%20Storefront%20Opened%20208f84a044028084b4bcc042f65d4280.md),,4420
Lafayette Storefront Opened,,4410_Lafayette Storefront Opened-2023-2024,Business Ventures Initiated (Business%20Ventures%20Initiated%2020af84a0440280ffa3c9dd0d303315ac.md),they navigate legal challenges for residency while documenting their journey of personal and professional growth,,,4410,"Cody Rice-Velasquez opens a physical office for underserved communities,reflecting their entrepreneurial spirit and commitment to inclusivity. Alongside partner Joel,emphasizing identity,values,and neurodiversity.",,,,Personal Investment (Personal%20Investment%20208f84a04402803c9b5ceb22925ae8a5.md)
Wavering Community Support,,Transition (Transition%2021bf84a0440280d4b557d75b7246510f.md),Unmet Requests for Help (Unmet%20Requests%20for%20Help%2020af84a0440280cab897f1f11229609b.md),remains committed to supporting immigrant clients and low-income families. Their story involves navigating complex legal issues for a friend seeking U.S. residency while managing their own intersecting identities as a transgender person of color with neurodivergent conditions. A structured narrative approach aims to share their experiences authentically,Outlining,4300,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),"Cody,despite personal challenges,fostering understanding and resilience among others facing similar challenges.",,,4300_Wavering Community Support-2024-2025,,Unmet Requests for Help (Unmet%20Requests%20for%20Help%2020af84a0440280cab897f1f11229609b.md),
Next Steps and Aspirations,,,,pursuing accountability with labor reports,10600,Appendix-Reference (Appendix-Reference%20208f84a04402804fa8e1c229647b2a20.md),PART XI - Manual to Me: Cody’s Guide to Understanding & Connection (PART%20XI%20-%20Manual%20to%20Me%20Cody%E2%80%99s%20Guide%20to%20Understandi%20203f84a044028013b57ecce49990408d.md),"Key next steps include reclaiming your voice through writing,securing sustainable income via remote services,supporting immigration cases,finalizing a quantum ADHD framework,publishing a memoir,and exploring bankruptcy options to prevent eviction.",10600_Next Steps and Aspirations-2025,,
Supporting Resources,,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402803b8befd4f0ee620c8c.md),,and testimonies related to the themes of light and dark lessons,Drafting,10300,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),"Appendix includes links to various resources such as the QiAlly Master Legal Binder,spiritual insights,all in draft status for 2025.",,,10300_Supporting Resources-2025,,Appendix-Reference (Appendix-Reference%20208f84a04402804fa8e1c229647b2a20.md),
Web of Compounding Challenges,6700_Web of Compounding Challenges-2025,,Drafting,financial setbacks,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),,"Explores various compounding challenges including health crises,grief,legal battles,and their impact on mental health and support systems.",,,,,6700
Dedication,01-_PART_I__Dedication__Orientation.png,YouThoughtThatYouKnewMe-Cover.png",1001,and aunt,Prologue (Prologue%20208f84a0440280de9858fa7b822b8a18.md),,,"Dedications express deep gratitude and love towards the author's mother,grandmother,highlighting their unwavering support,strength,and influence in the author's life during challenging times.","01-01_Dedication.png,,1001_Dedication-0,PART I – Dedication & Orientation (PART%20I%20%E2%80%93%20Dedication%20&%20Orientation%2020af84a0440280d0a951d435a9f04824.md)
Childhood Foundations,they encountered various forms of exploitation and abuse,but also found moments of support and guidance from positive figures,,and emotional trauma from family dynamics,2100_Childhood Foundations-1990-1992,including transitioning to align with their true identity.",,"The narrative describes a tumultuous childhood marked by abuse,neglect,including an unstable home environment with substance abuse and violence. The individual faced significant challenges related to identity,sexuality,and mental health,experiencing bullying and discrimination due to their mixed-race heritage and sexual orientation. Throughout their life,leading to personal growth and resilience. Despite ongoing struggles with mental health,the individual is committed to their journey of healing and self-discovery,
Aspirations Begin,,3300_Aspirations Begin-2017-2019,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md),shifting from mere survival to a desire for impactful creation. Embracing their neurodivergence as an asset,,,3300,"In 2021,the author experienced a transformative moment,they began developing systems and workflows to help themselves and others. Despite facing personal challenges,they committed to building a business that reflected their evolving identity,choosing to pursue their ambitions unapologetically and creating a lifeline for their future.",,,Husbands Case (Husbands%20Case%2020af84a0440280cdb680e1513ac25a8b.md),Business Takes Shape (Business%20Takes%20Shape%2020af84a044028069aff6df68120bd7f6.md)
Early Warnings,,Totaled Tesla (Totaled%20Tesla%2020af84a044028084a78ada0f5f0e3c8b.md),2022,,Early Warnings,Restructuring and Partnerships (Restructuring%20and%20Partnerships%2021bf84a04402802c8ac1d2b9f838f46d.md),,No content,,4701_Early Warnings-2022,,"Joel’s Deportation (Joel%E2%80%99s%20Deportation%2020af84a0440280e39973d2b9d2093415.md),Restructuring and Partnerships (Restructuring%20and%20Partnerships%2021bf84a04402802c8ac1d2b9f838f46d.md)",4701,,Outlining
Survival as Sacred,,Declaring My Truth (Declaring%20My%20Truth%20200f84a04402803f8b4ce342ca81042c.md),,emphasizing the beauty in choosing to continue living despite adversity. Each moment of survival is seen as a creation of a new future,Drafting,1102,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),"Survival is portrayed as a sacred act,a primal force that defies despair and embodies resilience. The author reflects on the transformation of their view of survival from a shameful struggle to a divine strength,honoring the persistent spirit that refuses to succumb to darkness.",,,1102_Survival as Sacred-0,,Emotional Weight Builds Slowly (Emotional%20Weight%20Builds%20Slowly%20200f84a04402804abd2bc5d530b23fa5.md),
Building Systems for Neurodivergent Minds,,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),,transforming overwhelming thoughts into manageable tasks,Drafting,10400,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),"Struggling with ADHD and PTSD,systems were built to create order from chaos,allowing for survival and functionality in a world that often feels unaccommodating.",,,10400_Building Systems for Neurodivergent Minds-2022+,,Epilogue (Epilogue%2020af84a04402809d8704ee5027a16b07.md),
What This Book Is About,01-03_What_This_Book_Is_About.png",,,the desire for peace,1100,Prologue (Prologue%20208f84a0440280de9858fa7b822b8a18.md),Declaring My Truth (Declaring%20My%20Truth%20200f84a04402803f8b4ce342ca81042c.md),"This work serves as a raw and honest reflection on personal struggles,emphasizing themes of isolation,spiritual evolution,and the experience of living authentically outside societal labels. It invites readers who have felt marginalized or burdened to recognize their journey of becoming and to embrace their true selves.","Jf_ebowv96A8Ym7S-y5ji.png,AlDqaDjbd65YMR_CenbWh.png,1100_What This Book Is About-0,,
Prologue,Tj-PiFBZcxc1C8d7qBzjh.png,Se4jKaXubkEny47oSdyYo.png",1002,encouraging the release of pain and the importance of facing one's own truth,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),,,"The prologue reflects on personal struggles and the theme of forgiveness,emphasizing the contrast between societal judgment and personal honesty. It conveys a message of self-acceptance and resilience,while also extending forgiveness to those who have caused hurt.","ChatGPT_Image_Jun_6_2025_12_42_31_AM.png,tf3H1KNF0i6CDN63-veWQ.png,00-01_Cover.png,,1002_Prologue-0,Dedication (Dedication%20208f84a0440280d88ca9fa6afad556e9.md)
PART IV – Collapse & Consequences,Joel’s Deportation (Joel%E2%80%99s%20Deportation%2020af84a0440280e39973d2b9d2093415.md),4000,Mental Health Impact (Mental%20Health%20Impact%2020af84a04402805e99f7e8657ff0bee5.md),,Unhealthy Thoughts (Unhealthy%20Thoughts%2021bf84a04402802f8d09d84ed6bdeaf0.md),Outlining,Transition (Transition%2021bf84a0440280d4b557d75b7246510f.md),No content,,4000_PART IV – Collapse & Consequences-2022-2025,,Early Wins (Early%20Wins%2020af84a04402808a886afbde7e64ccc0.md),,,,"Taking Over Alone (Taking%20Over%20Alone%2021bf84a044028046a1c5c9602f5c8b46.md)
Awakening & Neurodivergence,Spiritual + Emotional Evolution (Spiritual%20+%20Emotional%20Evolution%20200f84a0440280afb3c7d362daab1578.md),5100,Neurodivergence",,Chapter,Drafting,"Awakening,No content,,5100_Awakening & Neurodivergence-2024,,Spiritual Awakening (Spiritual%20Awakening%20200f84a044028086984ad507e9335592.md),,,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),
Appendix-Reference,Next Steps and Aspirations (Next%20Steps%20and%20Aspirations%20208f84a04402806aaf80c22f947bcce1.md),10500,Appendix,,2025,Drafting,Future Planning,No content,,10500_Appendix-Reference-2025,,Supporting Resources (Supporting%20Resources%20208f84a0440280f8b256e8cc2ffed699.md),,,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),
Epilogue,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402803b8befd4f0ee620c8c.md),10100,Epilogue,,2025,Drafting,,No content,,10100_Epilogue-2025,,Building Systems for Neurodivergent Minds (Building%20Systems%20for%20Neurodivergent%20Minds%20208f84a044028157955aeac86c6ef071.md),,,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),
PART I – Dedication & Orientation,PART XI - Manual to Me: Cody’s Guide to Understanding & Connection (PART%20XI%20-%20Manual%20to%20Me%20Cody%E2%80%99s%20Guide%20to%20Understandi%20203f84a044028013b57ecce49990408d.md),,Prologue (Prologue%20208f84a0440280de9858fa7b822b8a18.md),"01-02_Prologue__Spiritual_Setup.png,"Dedication (Dedication%20208f84a0440280d88ca9fa6afad556e9.md),,Sneak Peak,"Dedication and orientation section includes various sub-items and alternative images,with a status marked as ""Sneak Peak.""",Compass-Icon.png",,1000_PART I – Dedication & Orientation-0,,Dedication (Dedication%20208f84a0440280d88ca9fa6afad556e9.md),1000,
PART II – Origins & Early Life,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),2000,Education and Misdiagnosis (Education%20and%20Misdiagnosis%2020af84a044028032803cc2a8eb94d2d0.md),,Formative Friendships (Formative%20Friendships%2020af84a04402806faffde4f778be2266.md),Outlining,Desire for Peace and Clarity (Desire%20for%20Peace%20and%20Clarity%20200f84a044028033baf2eac302a274ec.md),No content,,2000_PART II – Origins & Early Life-1990-2008,,It Was Never Just One Thing (It%20Was%20Never%20Just%20One%20Thing%20200f84a044028068b675df5148c73009.md),,,,"Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md)
PART III – Ascent & Vision Amidst Challenge,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),3000,Joel’s Deportation (Joel%E2%80%99s%20Deportation%2020af84a0440280e39973d2b9d2093415.md),,Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),Outlining,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),No content,,3000_PART III – Ascent & Vision Amidst Challenge-2008-2024,,The Dream of Stability (The%20Dream%20of%20Stability%2020af84a0440280b384defd339c250663.md),,,,"Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md)
Family Dynamics,Religious Programming (Religious%20Programming%2020af84a044028090af08c4cf6236883e.md),2102,,,1990-2008,Outlining,,No content,,2102_Family Dynamics-1990-2008,,Early Trauma (Early%20Trauma%2020af84a0440280e2806dd01e26011ddf.md),,,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),
Early Trauma,Family Dynamics (Family%20Dynamics%2020af84a04402805696b3e7becb5f99d0.md),2101,,,1992-2005,Outlining,,No content,,2101_Early Trauma-1992-2005,,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),,,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),
Education and Misdiagnosis,School expulsion (School%20expulsion%2020df84a0440280c09fa2f6e6495d12c3.md),2400,,,1994-2008,Outlining,,No content,,2400_Education and Misdiagnosis-1994-2008,,Formative Friendships (Formative%20Friendships%2020af84a04402806faffde4f778be2266.md),,,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md),School expulsion (School%20expulsion%2020df84a0440280c09fa2f6e6495d12c3.md)
Business Takes Shape,Early Wins (Early%20Wins%2020af84a04402808a886afbde7e64ccc0.md),0310,,,2019-2021,Outlining,,No content,,0310_Business Takes Shape-2019-2021,,Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md),,,Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md),
Formative Friendships,Education and Misdiagnosis (Education%20and%20Misdiagnosis%2020af84a044028032803cc2a8eb94d2d0.md),2300,,,2005-2008,Outlining,,No content,,2300_Formative Friendships-2005-2008,,Isolation and Misunderstanding (Isolation%20and%20Misunderstanding%20200f84a0440280f4ad5afa445f8093db.md),,,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md),
Early Wins,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),0311,,,2022,Outlining,,No content,,0311_Early Wins-2022,,Business Takes Shape (Business%20Takes%20Shape%2020af84a044028069aff6df68120bd7f6.md),,,Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md),
Religious Programming,Desire for Peace and Clarity (Desire%20for%20Peace%20and%20Clarity%20200f84a044028033baf2eac302a274ec.md),2103,,,1990-2005,Outlining,,No content,,2103_Religious Programming-1990-2005,,Family Dynamics (Family%20Dynamics%2020af84a04402805696b3e7becb5f99d0.md),,,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),
The Dream of Stability,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md),2500,,,2000-2008,Outlining,,No content,,2500_The Dream of Stability-2000-2008,,School expulsion (School%20expulsion%2020df84a0440280c09fa2f6e6495d12c3.md),,,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md),
"PART V – Awakening & Realignment ",Spiritual Awakening (Spiritual%20Awakening%20200f84a044028086984ad507e9335592.md),5000,Living Between Worlds (Living%20Between%20Worlds%20200f84a04402801b97dec84aed45ace2.md),,Spiritual + Emotional Evolution (Spiritual%20+%20Emotional%20Evolution%20200f84a0440280afb3c7d362daab1578.md),Drafting,Awakening & Neurodivergence (Awakening%20&%20Neurodivergence%20208f84a04402807c9b64dd5f027d85f1.md),No content,,5000_PART V – Awakening & Realignment -2023,,Health Crisis (Health%20Crisis%2020af84a0440280f683d1c31efbf8c9d0.md),,,,"Spiritual Awakening (Spiritual%20Awakening%20200f84a044028086984ad507e9335592.md)
PART VII – Letters to the World,,7000_PART VII – Letters to the World-2025,,survivors,,,7000,"Drafting letters addressing various audiences,including oneself,bystanders,and abandoners,emphasizing themes of survival and personal reflection.",,,Reset 3 on the horizon (Reset%203%20on%20the%20horizon%2021bf84a04402803a86f0def4c69212bc.md),To the Survivors (To%20the%20Survivors%2020af84a0440280bfb187c68fd3327b15.md)
PART IX – Becoming & Forward Vision,,The Cost of Silence (The%20Cost%20of%20Silence%2020af84a0440280a19c46eb76d988f46b.md),"Affirmations for Survivors (Affirmations%20for%20Survivors%2020af84a0440280cd9152f5041bae461e.md),building truth-based relationships,Drafting,9000,,"Focus on creating a safe and stable life,fostering identity without performance pressure,and developing systems for neurodivergent minds by 2026.",,,9000_PART IX – Becoming & Forward Vision-2026,,Affirmations for Survivors (Affirmations%20for%20Survivors%2020af84a0440280cd9152f5041bae461e.md),
PART X – Epilogue & Appendix,10000_PART X – Epilogue & Appendix-2025,,Drafting,glossary of terms,,Building Systems for Neurodivergent Minds (Building%20Systems%20for%20Neurodivergent%20Minds%20208f84a044028157955aeac86c6ef071.md),,"Epilogue and appendix include a timeline index,financial collapse summary,and a podcast link,all in draft status for 2025.",,,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a044028052803cdd3bfdc87568.md),,10000
Reflections on Survival & Self,Epilogue (Epilogue%2020af84a04402809d8704ee5027a16b07.md),,,and saying no is an act of love. Embrace healing as a radical journey and recognize the ability to connect without losing oneself.",,,Drafting,"Unproductive days can still be victories; survival signifies strength,distance aids healing,,,10200_Reflections on Survival & Self-2025,,Supporting Resources (Supporting%20Resources%20208f84a0440280f8b256e8cc2ffed699.md),10200,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md)
The Cost of Silence,,PART IX – Becoming & Forward Vision (PART%20IX%20%E2%80%93%20Becoming%20&%20Forward%20Vision%2020af84a044028044890dff0e4698b52b.md),2025,,,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),,"Ignoring someone in crisis causes harm,and it's important not to judge those who leave. Pretending to care is a greater failure than walking away.",,0805_The Cost of Silence-2025,,Breaking the Silence PodCast (Breaking%20the%20Silence%20PodCast%20208f84a044028092bb02e20b1c3a38e4.md),0805,,Drafting
Affirmations for Survivors,,PART IX – Becoming & Forward Vision (PART%20IX%20%E2%80%93%20Becoming%20&%20Forward%20Vision%2020af84a044028044890dff0e4698b52b.md),,recognizing the value of personal stories,Drafting,0901,PART IX – Becoming & Forward Vision (PART%20IX%20%E2%80%93%20Becoming%20&%20Forward%20Vision%2020af84a044028044890dff0e4698b52b.md),"Affirmations emphasize the importance of reclaiming one's narrative,honoring identity,and acknowledging resilience despite feelings of isolation and misunderstanding.",,,0901_Affirmations for Survivors-2025,,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a044028052803cdd3bfdc87568.md),
Neurodivergent Design: Systems that See Us,,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),2025,,,PART IX – Becoming & Forward Vision (PART%20IX%20%E2%80%93%20Becoming%20&%20Forward%20Vision%2020af84a044028044890dff0e4698b52b.md),,"Focus on creating systems that acknowledge and reflect neurodivergent experiences and truths,with an emphasis on rebirth and transformation within these systems.",,0902_Neurodivergent Design: Systems that See Us-2025,,Affirmations for Survivors (Affirmations%20for%20Survivors%2020af84a0440280cd9152f5041bae461e.md),0902,,Drafting
"Resilience,,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),,focusing on personal experiences of overcoming challenges and how these experiences have led to personal growth and transformation.",Drafting,0801,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),Rewired","Chapter discusses the theme of resilience,,,"0801_Resilience,Rewired-2025",,Systems of Survival (Systems%20of%20Survival%2020af84a04402800ebb8de21898317003.md),
PART VIII – Systems of Survival,Understanding Neurodivergence: My Design (Understanding%20Neurodivergence%20My%20Design%2020af84a0440280f999d8ea9420f7214f.md)",,Drafting,,,%20Rewired%2020af84a0440280eb8af5e9aa9c5cec7b.md)",,"Drafting for a systems of survival project with a timeframe set for 2025,including references to QNOTE and systems rebirth.",,8000_PART VIII – Systems of Survival-2025,,"Affirmations for Survivors (Affirmations%20for%20Survivors%2020af84a0440280368964cc353aab8a41.md),"Resilience,Rewired (Resilience,8000
Unpaid Invoices Mount,Operational Overload (Operational%20Overload%2020af84a044028084bb56f6970000dda3.md),6102,Chapter,,2023,Outlining,,No content,,6102_Unpaid Invoices Mount-2023,,Severe Financial Setbacks (Severe%20Financial%20Setbacks%2020af84a044028012a6b5cb58fd56d24b.md),,,The Descent (The%20Descent%2020af84a0440280aca4dce8e829b19203.md),
Mental Health Impact,Transition (Transition%2021bf84a0440280d4b557d75b7246510f.md),4200,Chapter,,2023,Outlining,,No content,,4200_Mental Health Impact-2023,,Mom Departs (Mom%20Departs%2021bf84a04402809baec2ea7d151970ab.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),
Totaled Tesla,Health Crisis (Health%20Crisis%2020af84a0440280f683d1c31efbf8c9d0.md),4800,Chapter,,2023,Outlining,,No content,,4800_Totaled Tesla-2023,,Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),
Unmet Requests for Help,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),4301,Chapter,,2024,Outlining,,No content,,4301_Unmet Requests for Help-2024,,Wavering Community Support (Wavering%20Community%20Support%20208f84a044028005a7f5f354914d7d35.md),,,Wavering Community Support (Wavering%20Community%20Support%20208f84a044028005a7f5f354914d7d35.md),
Severe Financial Setbacks,Unpaid Invoices Mount (Unpaid%20Invoices%20Mount%2020af84a0440280299ff0ed86f33fdd2c.md),6101,Chapter,,2023-24,Drafting,,No content,,6101_Severe Financial Setbacks-2023-24,,The Descent (The%20Descent%2020af84a0440280aca4dce8e829b19203.md),,,The Descent (The%20Descent%2020af84a0440280aca4dce8e829b19203.md),
Crystal and Arleth’s Betrayal,IisiTax Parking Fiasco (IisiTax%20Parking%20Fiasco%20218f84a044028035b0a6fed2cc5c7f62.md),6720,Chapter,,2025,Drafting,,No content,,6720_Crystal and Arleth’s Betrayal-2025,,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),,,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),
Compounded Grief,Bankruptcy (Bankruptcy%2021bf84a044028053b0d7f0afc741b755.md),6720,Chapter,,2025,Drafting,,No content,,6720_Compounded Grief-2025,,Shut Down and Displacement (Shut%20Down%20and%20Displacement%2020af84a0440280fe9280e5098116f3a8.md),,,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),
Operational Overload,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),6103,Chapter,,2023,Drafting,,No content,,6103_Operational Overload-2023,,Unpaid Invoices Mount (Unpaid%20Invoices%20Mount%2020af84a0440280299ff0ed86f33fdd2c.md),,,The Descent (The%20Descent%2020af84a0440280aca4dce8e829b19203.md),
Partnerships Formed,,Joels Return (Joels%20Return%2021bf84a04402803cbfeacb1d77edf18e.md),2024,,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),,No content,,6400_Partnerships Formed-2024,,"PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),Spiritual Reawakening (Spiritual%20Reawakening%2021bf84a04402805bb808fccbe71b3653.md)",6400,,Drafting
Joel’s Deportation,Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md),3400,Chapter,,2022,Outlining,,No content,,3400_Joel’s Deportation-2022,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),,,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md),
